audio,sampling_rate,transcript
274679.wav,44100,
365220.wav,44100,
233458.wav,44100,
370931.wav,44100,
137172.wav,44100,
344769.wav,44100,
30934.wav,44100,
186037.wav,44100,
424600.wav,44100,
119086.wav,44100,
352360.wav,44100,
152901.wav,44100,
345685.wav,44100,
419931.wav,44100,
251788.wav,44100,
431893.wav,44100,
55064.wav,44100,
131561.wav,44100,
118985.wav,44100,
379019.wav,44100,
181728.wav,44100,
331703.wav,44100,
119132.wav,44100,
204468.wav,44100,
195457.wav,44100,
195458.wav,44100,
364244.wav,44100,
364235.wav,44100,
96832.wav,44100,
364443.wav,44100,
76187.wav,44100,
430212.wav,44100,
364702.wav,44100,
52285.wav,44100,
157026.wav,44100,
264470.wav,44100,
270251.wav,44100,
213307.wav,44100,
67145.wav,44100,
219673.wav,44100,
68687.wav,44100,
71925.wav,44100,
378398.wav,44100,
36362.wav,44100,
324584.wav,44100,
235514.wav,44100,
386879.wav,44100,
187381.wav,44100,
423710.wav,44100,
175939.wav,44100,
18169.wav,44100,
9907.wav,44100,
190945.wav,44100,
331134.wav,44100,
141708.wav,44100,
85645.wav,44100,
67255.wav,44100,
185310.wav,44100,
207293.wav,44100,
381321.wav,44100,
347229.wav,44100,
360908.wav,44100,
46060.wav,44100,
428815.wav,44100,
233410.wav,44100,
272335.wav,44100,
151842.wav,44100,
257766.wav,44100,
112813.wav,44100,
267956.wav,44100,
187605.wav,44100,
156891.wav,44100,
158971.wav,44100,
169146.wav,44100,
417430.wav,44100,
378917.wav,44100,
153427.wav,44100,
361173.wav,44100,
324760.wav,44100,
32518.wav,44100,
118862.wav,44100,
345290.wav,44100,
254971.wav,44100,
391150.wav,44100,
66322.wav,44100,
94993.wav,44100,
368203.wav,44100,
261379.wav,44100,
344576.wav,44100,
268930.wav,44100,
184372.wav,44100,
68669.wav,44100,
346168.wav,44100,
240273.wav,44100,
163452.wav,44100,
163450.wav,44100,
201252.wav,44100,
201251.wav,44100,
26340.wav,44100,
26339.wav,44100,
422671.wav,44100,
422670.wav,44100,
403574.wav,44100,
403573.wav,44100,
17502.wav,44100,
17501.wav,44100,
167564.wav,44100,
167565.wav,44100,
91482.wav,44100,
91481.wav,44100,
91483.wav,44100,
334969.wav,44100,
334937.wav,44100,
334938.wav,44100,
334939.wav,44100,
393908.wav,44100,
393909.wav,44100,
393910.wav,44100,
393911.wav,44100,
393777.wav,44100,
213980.wav,44100,
213984.wav,44100,
255208.wav,44100,
169928.wav,44100,
36268.wav,44100,
386748.wav,44100,
267486.wav,44100,
134816.wav,44100,
70893.wav,44100,
380669.wav,44100,
435557.wav,44100,
395308.wav,44100,
320909.wav,44100,
353793.wav,44100,
365569.wav,44100,
388272.wav,44100,
144184.wav,44100,
261383.wav,44100,
215017.wav,44100,
51423.wav,44100,
389685.wav,44100,
339675.wav,44100,
266949.wav,44100,
205016.wav,44100,
321203.wav,44100,
377500.wav,44100,
240785.wav,44100,
417724.wav,44100,
181261.wav,44100,
417449.wav,44100,
206151.wav,44100,
20840.wav,44100,
96025.wav,44100,
180980.wav,44100,
179179.wav,44100,
202015.wav,44100,
202016.wav,44100,
51105.wav,44100,
51161.wav,44100,
418520.wav,44100,
418523.wav,44100,
334517.wav,44100,
334506.wav,44100,
427008.wav,44100,
427140.wav,44100,
81737.wav,44100,
81740.wav,44100,
329961.wav,44100,
329962.wav,44100,
33931.wav,44100,
33932.wav,44100,
33933.wav,44100,
257937.wav,44100,
257938.wav,44100,
257947.wav,44100,
68674.wav,44100,
68715.wav,44100,
68736.wav,44100,
256081.wav,44100,
328878.wav,44100,
160542.wav,44100,
169042.wav,44100,
9201.wav,44100,
147301.wav,44100,
105091.wav,44100,
351519.wav,44100,
385868.wav,44100,
189946.wav,44100,
372322.wav,44100,
173645.wav,44100,
173801.wav,44100,
331253.wav,44100,
331262.wav,44100,
412132.wav,44100,
412135.wav,44100,
69732.wav,44100,
69735.wav,44100,
122429.wav,44100,
122437.wav,44100,
122423.wav,44100,
31675.wav,44100,
31674.wav,44100,
31673.wav,44100,
96557.wav,44100,
96561.wav,44100,
98073.wav,44100,
148238.wav,44100,
148237.wav,44100,
148247.wav,44100,
148254.wav,44100,
148256.wav,44100,
148257.wav,44100,
353457.wav,44100,
353473.wav,44100,
353474.wav,44100,
353477.wav,44100,
353480.wav,44100,
353475.wav,44100,
5350.wav,44100,
5364.wav,44100,
5379.wav,44100,
5359.wav,44100,
5361.wav,44100,
5373.wav,44100,
5376.wav,44100,
266463.wav,44100,
266479.wav,44100,
266481.wav,44100,
266496.wav,44100,
266459.wav,44100,
266464.wav,44100,
266469.wav,44100,
266476.wav,44100,
266484.wav,44100,
40190.wav,44100,
40205.wav,44100,
40257.wav,44100,
40271.wav,44100,
40279.wav,44100,
40280.wav,44100,
40290.wav,44100,
40305.wav,44100,
40306.wav,44100,
40193.wav,44100,
40254.wav,44100,
40264.wav,44100,
40286.wav,44100,
40289.wav,44100,
40294.wav,44100,
78513.wav,44100,
272276.wav,44100,
213943.wav,44100,
414027.wav,44100,
432869.wav,44100,
145338.wav,44100,
377389.wav,44100,
416250.wav,44100,
13244.wav,44100,
425433.wav,44100,
157545.wav,44100,
162312.wav,44100,
215562.wav,44100,
11389.wav,44100,
87724.wav,44100,
151810.wav,44100,
60988.wav,44100,
60989.wav,44100,
154691.wav,44100,
154687.wav,44100,
15575.wav,44100,
15589.wav,44100,
28723.wav,44100,
28724.wav,44100,
28715.wav,44100,
33123.wav,44100,
33127.wav,44100,
33122.wav,44100,
375493.wav,44100,
375497.wav,44100,
375511.wav,44100,
375528.wav,44100,
375509.wav,44100,
34796.wav,44100,
34810.wav,44100,
34822.wav,44100,
34806.wav,44100,
34807.wav,44100,
264615.wav,44100,
209865.wav,44100,
209866.wav,44100,
209870.wav,44100,
209873.wav,44100,
261413.wav,44100,
209874.wav,44100,
152679.wav,44100,
152680.wav,44100,
152689.wav,44100,
153095.wav,44100,
153400.wav,44100,
152686.wav,44100,
153096.wav,44100,
432900.wav,44100,
160612.wav,44100,
322862.wav,44100,
208695.wav,44100,
412487.wav,44100,
424031.wav,44100,
245969.wav,44100,
209467.wav,44100,
137083.wav,44100,
372901.wav,44100,
169626.wav,44100,
209480.wav,44100,
213563.wav,44100,
433587.wav,44100,
332985.wav,44100,
334492.wav,44100,
426363.wav,44100,
152968.wav,44100,
89739.wav,44100,
271660.wav,44100,
29542.wav,44100,
395920.wav,44100,
201263.wav,44100,
166194.wav,44100,
32327.wav,44100,
330799.wav,44100,
153362.wav,44100,
126573.wav,44100,
352382.wav,44100,
369924.wav,44100,
31548.wav,44100,
52289.wav,44100,
332498.wav,44100,
379016.wav,44100,
378918.wav,44100,
369574.wav,44100,
232988.wav,44100,
193829.wav,44100,
217796.wav,44100,
406197.wav,44100,
