{'loss': 0.7072, 'grad_norm': 1.3671294450759888, 'learning_rate': 5.4444444444444446e-05, 'epoch': 0.8281573498964804, 'step': 100}
{'loss': 0.2166, 'grad_norm': 1.084538221359253, 'learning_rate': 9.823529411764706e-05, 'epoch': 1.6563146997929605, 'step': 200}
{'loss': 0.1485, 'grad_norm': 1.540020227432251, 'learning_rate': 8.843137254901961e-05, 'epoch': 2.4844720496894412, 'step': 300}
{'loss': 0.1036, 'grad_norm': 0.6908079981803894, 'learning_rate': 7.862745098039215e-05, 'epoch': 3.3126293995859215, 'step': 400}
{'loss': 0.0648, 'grad_norm': 0.7758853435516357, 'learning_rate': 6.882352941176471e-05, 'epoch': 4.140786749482402, 'step': 500}
{'loss': 0.0471, 'grad_norm': 0.5642967820167542, 'learning_rate': 5.901960784313726e-05, 'epoch': 4.9689440993788825, 'step': 600}
{'loss': 0.0333, 'grad_norm': 0.4550759196281433, 'learning_rate': 4.9215686274509804e-05, 'epoch': 5.797101449275362, 'step': 700}
{'loss': 0.0219, 'grad_norm': 0.3491571247577667, 'learning_rate': 3.9411764705882356e-05, 'epoch': 6.625258799171843, 'step': 800}
{'loss': 0.015, 'grad_norm': 0.4128703474998474, 'learning_rate': 2.9607843137254905e-05, 'epoch': 7.453416149068323, 'step': 900}
{'loss': 0.0086, 'grad_norm': 0.2201799601316452, 'learning_rate': 1.980392156862745e-05, 'epoch': 8.281573498964804, 'step': 1000}
{'loss': 0.0054, 'grad_norm': 0.1330091953277588, 'learning_rate': 1e-05, 'epoch': 9.109730848861284, 'step': 1100}
{'loss': 0.0019, 'grad_norm': 0.019440267235040665, 'learning_rate': 1.9607843137254904e-07, 'epoch': 9.937888198757763, 'step': 1200}
{'train_runtime': 11525.9316, 'train_samples_per_second': 6.696, 'train_steps_per_second': 0.104, 'total_flos': 1.62868449005568e+20, 'train_loss': 0.11449749174217383, 'epoch': 9.937888198757763, 'step': 1200}
