{'loss': 0.6728, 'grad_norm': 1.3625797033309937, 'learning_rate': 5.6250000000000005e-05, 'epoch': 0.8492569002123143, 'step': 100}
{'loss': 0.2211, 'grad_norm': 1.524429440498352, 'learning_rate': 9.768611670020122e-05, 'epoch': 1.6985138004246285, 'step': 200}
{'loss': 0.1453, 'grad_norm': 0.8026670813560486, 'learning_rate': 8.762575452716299e-05, 'epoch': 2.5477707006369426, 'step': 300}
{'loss': 0.0994, 'grad_norm': 0.7837517857551575, 'learning_rate': 7.756539235412476e-05, 'epoch': 3.397027600849257, 'step': 400}
{'loss': 0.0671, 'grad_norm': 1.0969315767288208, 'learning_rate': 6.750503018108652e-05, 'epoch': 4.246284501061571, 'step': 500}
{'loss': 0.0456, 'grad_norm': 0.8688890933990479, 'learning_rate': 5.74446680080483e-05, 'epoch': 5.095541401273885, 'step': 600}
{'loss': 0.0308, 'grad_norm': 0.5301578640937805, 'learning_rate': 4.738430583501006e-05, 'epoch': 5.9447983014862, 'step': 700}
{'loss': 0.0237, 'grad_norm': 0.269234836101532, 'learning_rate': 3.7323943661971835e-05, 'epoch': 6.794055201698514, 'step': 800}
{'loss': 0.0131, 'grad_norm': 0.24328483641147614, 'learning_rate': 2.7263581488933603e-05, 'epoch': 7.643312101910828, 'step': 900}
{'loss': 0.0079, 'grad_norm': 0.14649999141693115, 'learning_rate': 1.720321931589537e-05, 'epoch': 8.492569002123142, 'step': 1000}
{'loss': 0.0041, 'grad_norm': 0.08023497462272644, 'learning_rate': 7.142857142857143e-06, 'epoch': 9.341825902335456, 'step': 1100}
{'train_runtime': 11227.7577, 'train_samples_per_second': 6.706, 'train_steps_per_second': 0.104, 'total_flos': 1.588492862631936e+20, 'train_loss': 0.11386540901457143, 'epoch': 9.936305732484076, 'step': 1170}
