{'loss': 1.6716, 'grad_norm': 2.391388177871704, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.1380738695201933, 'step': 100}
{'loss': 0.1827, 'grad_norm': 1.0206431150436401, 'learning_rate': 1.9800000000000004e-05, 'epoch': 0.2761477390403866, 'step': 200}
{'loss': 0.1834, 'grad_norm': 0.9093139171600342, 'learning_rate': 2.98e-05, 'epoch': 0.41422160856057993, 'step': 300}
{'loss': 0.1869, 'grad_norm': 0.769759476184845, 'learning_rate': 3.9800000000000005e-05, 'epoch': 0.5522954780807732, 'step': 400}
{'loss': 0.1925, 'grad_norm': 0.8490528464317322, 'learning_rate': 4.9800000000000004e-05, 'epoch': 0.6903693476009665, 'step': 500}
{'loss': 0.2022, 'grad_norm': 1.074462652206421, 'learning_rate': 5.9800000000000003e-05, 'epoch': 0.8284432171211599, 'step': 600}
{'loss': 0.2102, 'grad_norm': 0.8512539863586426, 'learning_rate': 6.98e-05, 'epoch': 0.9665170866413532, 'step': 700}
{'loss': 0.2129, 'grad_norm': 0.7977840304374695, 'learning_rate': 7.98e-05, 'epoch': 1.1045909561615463, 'step': 800}
{'loss': 0.2014, 'grad_norm': 1.0465747117996216, 'learning_rate': 8.98e-05, 'epoch': 1.2426648256817396, 'step': 900}
{'loss': 0.1945, 'grad_norm': 0.7996441721916199, 'learning_rate': 9.98e-05, 'epoch': 1.380738695201933, 'step': 1000}
{'loss': 0.1849, 'grad_norm': 0.8140670657157898, 'learning_rate': 9.804e-05, 'epoch': 1.5188125647221264, 'step': 1100}
{'loss': 0.1718, 'grad_norm': 0.7830561995506287, 'learning_rate': 9.604000000000001e-05, 'epoch': 1.6568864342423195, 'step': 1200}
{'loss': 0.1535, 'grad_norm': 0.6395660638809204, 'learning_rate': 9.404e-05, 'epoch': 1.794960303762513, 'step': 1300}
{'loss': 0.1478, 'grad_norm': 0.6505643129348755, 'learning_rate': 9.204e-05, 'epoch': 1.933034173282706, 'step': 1400}
{'loss': 0.1417, 'grad_norm': 0.6597594022750854, 'learning_rate': 9.004e-05, 'epoch': 2.0711080428028996, 'step': 1500}
{'loss': 0.129, 'grad_norm': 0.6059186458587646, 'learning_rate': 8.804e-05, 'epoch': 2.2091819123230927, 'step': 1600}
{'loss': 0.1161, 'grad_norm': 0.6581311225891113, 'learning_rate': 8.604000000000001e-05, 'epoch': 2.347255781843286, 'step': 1700}
{'loss': 0.1085, 'grad_norm': 0.5844933390617371, 'learning_rate': 8.404e-05, 'epoch': 2.4853296513634793, 'step': 1800}
{'loss': 0.1025, 'grad_norm': 0.5885128378868103, 'learning_rate': 8.204000000000001e-05, 'epoch': 2.623403520883673, 'step': 1900}
{'loss': 0.0935, 'grad_norm': 0.5072090029716492, 'learning_rate': 8.004e-05, 'epoch': 2.761477390403866, 'step': 2000}
{'loss': 0.0919, 'grad_norm': 0.5270977020263672, 'learning_rate': 7.804e-05, 'epoch': 2.8995512599240594, 'step': 2100}
{'loss': 0.0866, 'grad_norm': 0.5792059302330017, 'learning_rate': 7.604e-05, 'epoch': 3.037625129444253, 'step': 2200}
{'loss': 0.0806, 'grad_norm': 0.4879016876220703, 'learning_rate': 7.404e-05, 'epoch': 3.175698998964446, 'step': 2300}
{'loss': 0.0723, 'grad_norm': 0.4685279428958893, 'learning_rate': 7.204000000000001e-05, 'epoch': 3.313772868484639, 'step': 2400}
{'loss': 0.0662, 'grad_norm': 0.49131375551223755, 'learning_rate': 7.004e-05, 'epoch': 3.4518467380048325, 'step': 2500}
{'loss': 0.0624, 'grad_norm': 0.4354858994483948, 'learning_rate': 6.804e-05, 'epoch': 3.589920607525026, 'step': 2600}
{'loss': 0.0591, 'grad_norm': 0.49017104506492615, 'learning_rate': 6.604e-05, 'epoch': 3.727994477045219, 'step': 2700}
{'loss': 0.0585, 'grad_norm': 1.0021116733551025, 'learning_rate': 6.404e-05, 'epoch': 3.8660683465654127, 'step': 2800}
{'loss': 0.0556, 'grad_norm': 0.4588888883590698, 'learning_rate': 6.204e-05, 'epoch': 4.004142216085606, 'step': 2900}
{'loss': 0.0535, 'grad_norm': 0.39853253960609436, 'learning_rate': 6.004000000000001e-05, 'epoch': 4.142216085605799, 'step': 3000}
{'loss': 0.0457, 'grad_norm': 2.1464860439300537, 'learning_rate': 5.804000000000001e-05, 'epoch': 4.280289955125992, 'step': 3100}
{'loss': 0.0425, 'grad_norm': 0.4888297915458679, 'learning_rate': 5.6040000000000006e-05, 'epoch': 4.418363824646185, 'step': 3200}
{'loss': 0.0398, 'grad_norm': 0.28734493255615234, 'learning_rate': 5.4040000000000004e-05, 'epoch': 4.556437694166379, 'step': 3300}
{'loss': 0.0373, 'grad_norm': 0.4020119607448578, 'learning_rate': 5.204e-05, 'epoch': 4.694511563686572, 'step': 3400}
{'loss': 0.0359, 'grad_norm': 0.38171395659446716, 'learning_rate': 5.0039999999999995e-05, 'epoch': 4.8325854332067655, 'step': 3500}
{'loss': 0.0347, 'grad_norm': 0.4817271828651428, 'learning_rate': 4.804e-05, 'epoch': 4.9706593027269586, 'step': 3600}
{'loss': 0.0319, 'grad_norm': 0.44141343235969543, 'learning_rate': 4.604e-05, 'epoch': 5.1087331722471525, 'step': 3700}
{'loss': 0.0275, 'grad_norm': 0.480552613735199, 'learning_rate': 4.4040000000000005e-05, 'epoch': 5.246807041767346, 'step': 3800}
{'loss': 0.027, 'grad_norm': 0.3112877309322357, 'learning_rate': 4.2040000000000004e-05, 'epoch': 5.384880911287539, 'step': 3900}
{'loss': 0.0246, 'grad_norm': 0.290021151304245, 'learning_rate': 4.004e-05, 'epoch': 5.522954780807732, 'step': 4000}
{'loss': 0.0223, 'grad_norm': 0.30392569303512573, 'learning_rate': 3.804e-05, 'epoch': 5.661028650327926, 'step': 4100}
{'loss': 0.0206, 'grad_norm': 0.3751727044582367, 'learning_rate': 3.604e-05, 'epoch': 5.799102519848119, 'step': 4200}
{'loss': 0.0198, 'grad_norm': 0.25975438952445984, 'learning_rate': 3.404e-05, 'epoch': 5.937176389368312, 'step': 4300}
{'loss': 0.0185, 'grad_norm': 0.16564127802848816, 'learning_rate': 3.2040000000000005e-05, 'epoch': 6.075250258888506, 'step': 4400}
{'loss': 0.0156, 'grad_norm': 0.23278073966503143, 'learning_rate': 3.004e-05, 'epoch': 6.213324128408699, 'step': 4500}
{'loss': 0.0143, 'grad_norm': 0.2620650827884674, 'learning_rate': 2.804e-05, 'epoch': 6.351397997928892, 'step': 4600}
{'loss': 0.0128, 'grad_norm': 0.19472573697566986, 'learning_rate': 2.6040000000000005e-05, 'epoch': 6.489471867449085, 'step': 4700}
{'loss': 0.0119, 'grad_norm': 0.23765137791633606, 'learning_rate': 2.404e-05, 'epoch': 6.627545736969278, 'step': 4800}
{'loss': 0.011, 'grad_norm': 0.1941007375717163, 'learning_rate': 2.2040000000000002e-05, 'epoch': 6.765619606489472, 'step': 4900}
{'loss': 0.0095, 'grad_norm': 0.11828970164060593, 'learning_rate': 2.004e-05, 'epoch': 6.903693476009665, 'step': 5000}
{'loss': 0.0096, 'grad_norm': 0.27438539266586304, 'learning_rate': 1.804e-05, 'epoch': 7.041767345529858, 'step': 5100}
{'loss': 0.0079, 'grad_norm': 0.09317442774772644, 'learning_rate': 1.604e-05, 'epoch': 7.179841215050052, 'step': 5200}
{'loss': 0.0073, 'grad_norm': 0.15455910563468933, 'learning_rate': 1.4040000000000001e-05, 'epoch': 7.317915084570245, 'step': 5300}
{'loss': 0.0067, 'grad_norm': 0.19135472178459167, 'learning_rate': 1.204e-05, 'epoch': 7.455988954090438, 'step': 5400}
{'loss': 0.0058, 'grad_norm': 0.13623353838920593, 'learning_rate': 1.004e-05, 'epoch': 7.594062823610631, 'step': 5500}
{'loss': 0.005, 'grad_norm': 0.09608476608991623, 'learning_rate': 8.040000000000001e-06, 'epoch': 7.732136693130825, 'step': 5600}
{'loss': 0.0047, 'grad_norm': 0.19600124657154083, 'learning_rate': 6.040000000000001e-06, 'epoch': 7.870210562651018, 'step': 5700}
{'loss': 0.0046, 'grad_norm': 0.06651196628808975, 'learning_rate': 4.04e-06, 'epoch': 8.008284432171212, 'step': 5800}
{'loss': 0.0041, 'grad_norm': 0.29232117533683777, 'learning_rate': 2.0400000000000004e-06, 'epoch': 8.146358301691405, 'step': 5900}
{'loss': 0.0036, 'grad_norm': 0.07477915287017822, 'learning_rate': 4e-08, 'epoch': 8.284432171211598, 'step': 6000}
{'train_runtime': 181672.7503, 'train_samples_per_second': 8.455, 'train_steps_per_second': 0.033, 'total_flos': 3.2610887757398016e+21, 'train_loss': 0.1006079577455918, 'epoch': 8.284432171211598, 'step': 6000}
