{'loss': 2.1536, 'grad_norm': 2.5743868350982666, 'learning_rate': 6e-06, 'epoch': 0.03451846738004832, 'step': 100}
{'loss': 0.2098, 'grad_norm': 2.110031843185425, 'learning_rate': 1.225e-05, 'epoch': 0.06903693476009665, 'step': 200}
{'loss': 0.2052, 'grad_norm': 1.608992576599121, 'learning_rate': 1.85e-05, 'epoch': 0.10355540214014498, 'step': 300}
{'loss': 0.2135, 'grad_norm': 1.8342584371566772, 'learning_rate': 2.4750000000000002e-05, 'epoch': 0.1380738695201933, 'step': 400}
{'loss': 0.2185, 'grad_norm': 2.705549955368042, 'learning_rate': 3.1e-05, 'epoch': 0.17259233690024162, 'step': 500}
{'loss': 0.2302, 'grad_norm': 1.629492163658142, 'learning_rate': 3.7250000000000004e-05, 'epoch': 0.20711080428028997, 'step': 600}
{'loss': 0.2483, 'grad_norm': 1.6918648481369019, 'learning_rate': 4.35e-05, 'epoch': 0.2416292716603383, 'step': 700}
{'loss': 0.2484, 'grad_norm': 2.0234973430633545, 'learning_rate': 4.975e-05, 'epoch': 0.2761477390403866, 'step': 800}
{'loss': 0.2605, 'grad_norm': 2.507228136062622, 'learning_rate': 4.907692307692308e-05, 'epoch': 0.3106662064204349, 'step': 900}
{'loss': 0.2584, 'grad_norm': 1.511030673980713, 'learning_rate': 4.8115384615384615e-05, 'epoch': 0.34518467380048323, 'step': 1000}
{'loss': 0.2583, 'grad_norm': 1.221958041191101, 'learning_rate': 4.7153846153846155e-05, 'epoch': 0.3797031411805316, 'step': 1100}
{'loss': 0.2545, 'grad_norm': 1.7782516479492188, 'learning_rate': 4.6192307692307696e-05, 'epoch': 0.41422160856057993, 'step': 1200}
{'loss': 0.2471, 'grad_norm': 2.3451573848724365, 'learning_rate': 4.523076923076923e-05, 'epoch': 0.44874007594062826, 'step': 1300}
{'loss': 0.2415, 'grad_norm': 1.8684217929840088, 'learning_rate': 4.426923076923078e-05, 'epoch': 0.4832585433206766, 'step': 1400}
{'loss': 0.252, 'grad_norm': 1.54874849319458, 'learning_rate': 4.330769230769231e-05, 'epoch': 0.5177770107007249, 'step': 1500}
{'loss': 0.2462, 'grad_norm': 1.398486852645874, 'learning_rate': 4.2346153846153845e-05, 'epoch': 0.5522954780807732, 'step': 1600}
{'loss': 0.2395, 'grad_norm': 1.6529643535614014, 'learning_rate': 4.1384615384615386e-05, 'epoch': 0.5868139454608216, 'step': 1700}
